Club,Season,Expenditure,Arrivals,Income,Departures,Balance,League
Manchester United,02/03,48530000,15,3500000,15,-45030000,PremierLeague
Manchester City,02/03,44450000,16,750000,14,-43700000,PremierLeague
Newcastle United,02/03,34550000,13,225000,14,-34325000,PremierLeague
Middlesbrough FC,02/03,34080000,24,0,27,-34080000,PremierLeague
Liverpool FC,02/03,31500000,18,11800000,16,-19700000,PremierLeague
Sunderland AFC,02/03,29680000,26,0,19,-29680000,PremierLeague
West Bromwich Albion,02/03,16950000,10,0,7,-16950000,PremierLeague
Birmingham City,02/03,15680000,21,1150000,19,-14530000,PremierLeague
Everton FC,02/03,13730000,22,375000,17,-13355000,PremierLeague
Arsenal FC,02/03,12830000,19,8220000,19,-4610000,PremierLeague
Southampton FC,02/03,12000000,16,0,19,-12000000,PremierLeague
Tottenham Hotspur,02/03,10500000,23,1350000,23,-9150000,PremierLeague
Aston Villa,02/03,9080000,24,6900000,17,-2180000,PremierLeague
Blackburn Rovers,02/03,7250000,21,1800000,18,-5450000,PremierLeague
Charlton Athletic,02/03,6750000,13,2650000,13,-4100000,PremierLeague
Leeds United,02/03,4500000,20,80120000,21,75620000,PremierLeague
Fulham FC,02/03,3000000,9,825000,12,-2175000,PremierLeague
West Ham United,02/03,400000,18,75000,19,-325000,PremierLeague
Bolton Wanderers,02/03,0,24,5290000,31,5290000,PremierLeague
Chelsea FC,02/03,0,10,2100000,11,2100000,PremierLeague
Chelsea FC,03/04,170000000,28,950000,22,-169050000,PremierLeague
Manchester United,03/04,56530000,27,59300000,28,2770000,PremierLeague
Tottenham Hotspur,03/04,29750000,20,1750000,23,-28000000,PremierLeague
Arsenal FC,03/04,27420000,24,1050000,22,-26370000,PremierLeague
Blackburn Rovers,03/04,22340000,25,34850000,32,12510000,PremierLeague
Birmingham City,03/04,17100000,17,1950000,27,-15150000,PremierLeague
Liverpool FC,03/04,15650000,22,0,13,-15650000,PremierLeague
Manchester City,03/04,14260000,23,6620000,24,-7640000,PremierLeague
Portsmouth FC,03/04,11780000,38,200000,39,-11580000,PremierLeague
Middlesbrough FC,03/04,10200000,30,1130000,31,-9070000,PremierLeague
Everton FC,03/04,10070000,18,975000,20,-9095000,PremierLeague
Wolverhampton Wanderers,03/04,9880000,27,1150000,20,-8730000,PremierLeague
Southampton FC,03/04,8980000,21,10880000,20,1900000,PremierLeague
Fulham FC,03/04,8480000,33,25040000,28,16560000,PremierLeague
Aston Villa,03/04,8380000,20,290000,29,-8090000,PremierLeague
Charlton Athletic,03/04,1500000,19,15000000,17,13500000,PremierLeague
Leicester City,03/04,1140000,29,0,29,-1140000,PremierLeague
Bolton Wanderers,03/04,750000,29,75000,30,-675000,PremierLeague
Leeds United,03/04,100000,28,16830000,32,16730000,PremierLeague
Newcastle United,03/04,0,17,5000000,22,5000000,PremierLeague
Chelsea FC,04/05,162400000,24,3300000,25,-159100000,PremierLeague
Manchester United,04/05,61250000,21,9570000,19,-51680000,PremierLeague
Liverpool FC,04/05,58400000,25,24570000,23,-33830000,PremierLeague
Tottenham Hotspur,04/05,47130000,38,10500000,34,-36630000,PremierLeague
Newcastle United,04/05,29450000,18,22280000,19,-7170000,PremierLeague
West Bromwich Albion,04/05,15850000,18,1950000,24,-13900000,PremierLeague
Birmingham City,04/05,15770000,28,8150000,23,-7620000,PremierLeague
Fulham FC,04/05,13950000,26,5200000,22,-8750000,PremierLeague
Charlton Athletic,04/05,13250000,17,1950000,19,-11300000,PremierLeague
Southampton FC,04/05,12680000,37,11500000,29,-1180000,PremierLeague
Arsenal FC,04/05,12480000,24,3900000,19,-8580000,PremierLeague
Everton FC,04/05,11880000,9,45400000,17,33520000,PremierLeague
Portsmouth FC,04/05,10850000,29,6600000,36,-4250000,PremierLeague
Aston Villa,04/05,10140000,14,3430000,18,-6710000,PremierLeague
Norwich City,04/05,8530000,18,450000,15,-8080000,PremierLeague
Blackburn Rovers,04/05,7880000,21,7700000,21,-180000,PremierLeague
Middlesbrough FC,04/05,6750000,21,3450000,22,-3300000,PremierLeague
Crystal Palace,04/05,5150000,18,100000,16,-5050000,PremierLeague
Manchester City,04/05,1500000,18,7940000,19,6440000,PremierLeague
Bolton Wanderers,04/05,1380000,26,375000,26,-1005000,PremierLeague
Chelsea FC,05/06,91500000,19,34600000,19,-56900000,PremierLeague
Newcastle United,05/06,61750000,17,30900000,16,-30850000,PremierLeague
Arsenal FC,05/06,46000000,20,25000000,18,-21000000,PremierLeague
Liverpool FC,05/06,44060000,30,19040000,26,-25020000,PremierLeague
Tottenham Hotspur,05/06,36510000,28,25450000,27,-11060000,PremierLeague
Everton FC,05/06,32530000,16,7000000,14,-25530000,PremierLeague
Manchester United,05/06,31800000,25,7900000,27,-23900000,PremierLeague
West Ham United,05/06,21590000,33,550000,31,-21040000,PremierLeague
Portsmouth FC,05/06,18780000,40,12150000,37,-6630000,PremierLeague
Aston Villa,05/06,16540000,18,6400000,15,-10140000,PremierLeague
Wigan Athletic,05/06,15770000,17,5630000,19,-10140000,PremierLeague
West Bromwich Albion,05/06,15300000,16,9080000,18,-6220000,PremierLeague
Middlesbrough FC,05/06,13960000,20,0,12,-13960000,PremierLeague
Manchester City,05/06,12480000,13,32500000,13,20020000,PremierLeague
Blackburn Rovers,05/06,9400000,23,2700000,25,-6700000,PremierLeague
Charlton Athletic,05/06,9100000,31,5710000,23,-3390000,PremierLeague
Birmingham City,05/06,8100000,32,7950000,27,-150000,PremierLeague
Fulham FC,05/06,6550000,25,4630000,24,-1920000,PremierLeague
Bolton Wanderers,05/06,6200000,14,0,17,-6200000,PremierLeague
Sunderland AFC,05/06,5930000,24,1430000,27,-4500000,PremierLeague
Chelsea FC,06/07,88980000,20,52600000,17,-36380000,PremierLeague
West Ham United,06/07,69850000,22,6750000,23,-63100000,PremierLeague
Tottenham Hotspur,06/07,61000000,22,38650000,22,-22350000,PremierLeague
Liverpool FC,06/07,46000000,30,24730000,28,-21270000,PremierLeague
Newcastle United,06/07,31880000,11,11180000,14,-20700000,PremierLeague
Wigan Athletic,06/07,29380000,23,24330000,25,-5050000,PremierLeague
Manchester United,06/07,27200000,27,18000000,27,-9200000,PremierLeague
Aston Villa,06/07,24700000,18,1830000,16,-22870000,PremierLeague
Charlton Athletic,06/07,21650000,33,2280000,36,-19370000,PremierLeague
Sheffield United,06/07,18030000,42,3330000,38,-14700000,PremierLeague
Blackburn Rovers,06/07,17980000,27,16910000,24,-1070000,PremierLeague
Everton FC,06/07,17900000,14,2500000,17,-15400000,PremierLeague
Bolton Wanderers,06/07,17000000,21,3850000,16,-13150000,PremierLeague
Arsenal FC,06/07,15000000,17,12930000,19,-2070000,PremierLeague
Fulham FC,06/07,13800000,20,10520000,25,-3280000,PremierLeague
Middlesbrough FC,06/07,11300000,21,4680000,24,-6620000,PremierLeague
Watford FC,06/07,10480000,32,13500000,23,3020000,PremierLeague
Reading FC,06/07,9230000,27,0,17,-9230000,PremierLeague
Portsmouth FC,06/07,9100000,29,1250000,32,-7850000,PremierLeague
Manchester City,06/07,6500000,20,4200000,23,-2300000,PremierLeague
Manchester United,07/08,106500000,26,46600000,22,-59900000,PremierLeague
Tottenham Hotspur,07/08,94150000,27,22550000,21,-71600000,PremierLeague
Liverpool FC,07/08,90700000,30,46750000,28,-43950000,PremierLeague
Manchester City,07/08,77950000,33,10560000,26,-67390000,PremierLeague
Sunderland AFC,07/08,64320000,31,3200000,21,-61120000,PremierLeague
Chelsea FC,07/08,59000000,24,43650000,16,-15350000,PremierLeague
Portsmouth FC,07/08,58640000,28,23380000,25,-35260000,PremierLeague
Middlesbrough FC,07/08,50600000,21,30230000,23,-20370000,PremierLeague
Fulham FC,07/08,50430000,39,19500000,27,-30930000,PremierLeague
West Ham United,07/08,47150000,19,42000000,17,-5150000,PremierLeague
Newcastle United,07/08,37850000,20,31700000,17,-6150000,PremierLeague
Everton FC,07/08,37550000,17,14800000,18,-22750000,PremierLeague
Arsenal FC,07/08,30950000,19,56730000,18,25780000,PremierLeague
Birmingham City,07/08,29300000,31,8480000,30,-20820000,PremierLeague
Aston Villa,07/08,24900000,12,17900000,17,-7000000,PremierLeague
Derby County,07/08,22680000,30,5240000,29,-17440000,PremierLeague
Bolton Wanderers,07/08,22350000,25,21970000,24,-380000,PremierLeague
Wigan Athletic,07/08,17900000,26,17830000,21,-70000,PremierLeague
Reading FC,07/08,12100000,40,5700000,35,-6400000,PremierLeague
Blackburn Rovers,07/08,6200000,19,3980000,18,-2220000,PremierLeague
Manchester City,08/09,157350000,26,26500000,18,-130850000,PremierLeague
Tottenham Hotspur,08/09,143950000,38,88050000,36,-55900000,PremierLeague
Liverpool FC,08/09,71450000,33,46450000,29,-25000000,PremierLeague
Aston Villa,08/09,55900000,19,7520000,15,-48380000,PremierLeague
Manchester United,08/09,45250000,17,7450000,17,-37800000,PremierLeague
Arsenal FC,08/09,40150000,18,25800000,11,-14350000,PremierLeague
Newcastle United,08/09,35480000,23,41400000,16,5920000,PremierLeague
Stoke City,08/09,33950000,24,765000,19,-33185000,PremierLeague
Sunderland AFC,08/09,33110000,34,11150000,35,-21960000,PremierLeague
Chelsea FC,08/09,30500000,18,44550000,18,14050000,PremierLeague
Portsmouth FC,08/09,28200000,30,54150000,26,25950000,PremierLeague
Fulham FC,08/09,26850000,31,16330000,41,-10520000,PremierLeague
Everton FC,08/09,25080000,15,13300000,11,-11780000,PremierLeague
West Bromwich Albion,08/09,24320000,22,10250000,24,-14070000,PremierLeague
Wigan Athletic,08/09,24100000,24,24500000,28,400000,PremierLeague
Bolton Wanderers,08/09,23700000,15,10880000,19,-12820000,PremierLeague
Hull City,08/09,17950000,26,0,18,-17950000,PremierLeague
West Ham United,08/09,16000000,28,68830000,30,52830000,PremierLeague
Middlesbrough FC,08/09,12800000,18,8720000,19,-4080000,PremierLeague
Blackburn Rovers,08/09,11680000,26,26500000,28,14820000,PremierLeague
Manchester City,09/10,147300000,29,29200000,29,-118100000,PremierLeague
Aston Villa,09/10,46900000,21,22100000,16,-24800000,PremierLeague
Sunderland AFC,09/10,46100000,27,21280000,29,-24820000,PremierLeague
Liverpool FC,09/10,43500000,25,48550000,26,5050000,PremierLeague
Tottenham Hotspur,09/10,40300000,35,31700000,32,-8600000,PremierLeague
Chelsea FC,09/10,30000000,18,3800000,12,-26200000,PremierLeague
Manchester United,09/10,27300000,18,104470000,17,77170000,PremierLeague
Stoke City,09/10,26050000,25,6500000,23,-19550000,PremierLeague
Everton FC,09/10,23300000,15,28340000,15,5040000,PremierLeague
West Ham United,09/10,21650000,23,41300000,26,19650000,PremierLeague
Birmingham City,09/10,20050000,28,400000,28,-19650000,PremierLeague
Wolverhampton Wanderers,09/10,19450000,32,870000,28,-18580000,PremierLeague
Wigan Athletic,09/10,18440000,21,25980000,20,7540000,PremierLeague
Hull City,09/10,14850000,24,16200000,27,1350000,PremierLeague
Burnley FC,09/10,13540000,33,90000,20,-13450000,PremierLeague
Blackburn Rovers,09/10,13280000,39,36650000,35,23370000,PremierLeague
Arsenal FC,09/10,12000000,17,47700000,13,35700000,PremierLeague
Bolton Wanderers,09/10,12000000,25,2000000,17,-10000000,PremierLeague
Portsmouth FC,09/10,10560000,35,52050000,40,41490000,PremierLeague
Fulham FC,09/10,7110000,28,0,26,-7110000,PremierLeague
Manchester City,10/11,183610000,36,40150000,26,-143460000,PremierLeague
Chelsea FC,10/11,121500000,22,16500000,21,-105000000,PremierLeague
Liverpool FC,10/11,97730000,25,101500000,24,3770000,PremierLeague
Aston Villa,10/11,37400000,21,28400000,21,-9000000,PremierLeague
Manchester United,10/11,29300000,18,16970000,18,-12330000,PremierLeague
Sunderland AFC,10/11,29100000,31,41780000,32,12680000,PremierLeague
Tottenham Hotspur,10/11,26600000,43,2940000,34,-23660000,PremierLeague
Birmingham City,10/11,25600000,25,175000,23,-25425000,PremierLeague
Arsenal FC,10/11,23000000,23,8100000,22,-14900000,PremierLeague
Stoke City,10/11,21100000,26,6780000,23,-14320000,PremierLeague
Wolverhampton Wanderers,10/11,20220000,29,6440000,27,-13780000,PremierLeague
West Ham United,10/11,18030000,18,4950000,20,-13080000,PremierLeague
Newcastle United,10/11,13980000,18,41750000,16,27770000,PremierLeague
West Bromwich Albion,10/11,13830000,30,850000,26,-12980000,PremierLeague
Wigan Athletic,10/11,11400000,25,3400000,21,-8000000,PremierLeague
Fulham FC,10/11,11050000,16,12810000,23,1760000,PremierLeague
Blackpool FC,10/11,5730000,28,700000,24,-5030000,PremierLeague
Bolton Wanderers,10/11,5400000,18,1400000,20,-4000000,PremierLeague
Blackburn Rovers,10/11,5050000,30,275000,30,-4775000,PremierLeague
Everton FC,10/11,1700000,14,6600000,14,4900000,PremierLeague
Chelsea FC,11/12,96450000,26,31560000,22,-64890000,PremierLeague
Manchester City,11/12,91050000,34,31200000,36,-59850000,PremierLeague
Arsenal FC,11/12,65480000,37,78290000,26,12810000,PremierLeague
Liverpool FC,11/12,65330000,24,22000000,18,-43330000,PremierLeague
Manchester United,11/12,62300000,17,12900000,18,-49400000,PremierLeague
Sunderland AFC,11/12,27920000,37,26330000,32,-1590000,PremierLeague
Newcastle United,11/12,27000000,29,16040000,26,-10960000,PremierLeague
Queens Park Rangers,11/12,26230000,46,2800000,43,-23430000,PremierLeague
Stoke City,11/12,24800000,26,1990000,26,-22810000,PremierLeague
Blackburn Rovers,11/12,20550000,26,40300000,28,19750000,PremierLeague
Aston Villa,11/12,20340000,21,43750000,25,23410000,PremierLeague
Fulham FC,11/12,18130000,22,7670000,17,-10460000,PremierLeague
Bolton Wanderers,11/12,15600000,24,16330000,22,730000,PremierLeague
Norwich City,11/12,15250000,19,500000,18,-14750000,PremierLeague
Swansea City,11/12,12850000,23,455000,22,-12395000,PremierLeague
Wigan Athletic,11/12,12380000,24,11290000,15,-1090000,PremierLeague
Wolverhampton Wanderers,11/12,12050000,30,2600000,32,-9450000,PremierLeague
West Bromwich Albion,11/12,9140000,26,11120000,26,1980000,PremierLeague
Tottenham Hotspur,11/12,9000000,40,43250000,36,34250000,PremierLeague
Everton FC,11/12,7200000,20,26800000,17,19600000,PremierLeague
Chelsea FC,12/13,109700000,38,25450000,28,-84250000,PremierLeague
Manchester United,12/13,76450000,20,9650000,15,-66800000,PremierLeague
Tottenham Hotspur,12/13,73250000,35,72780000,34,-470000,PremierLeague
Liverpool FC,12/13,70600000,20,10450000,18,-60150000,PremierLeague
Manchester City,12/13,61950000,26,44300000,26,-17650000,PremierLeague
Arsenal FC,12/13,56000000,25,65850000,19,9850000,PremierLeague
Queens Park Rangers,12/13,50350000,45,4510000,46,-45840000,PremierLeague
Southampton FC,12/13,41500000,31,0,25,-41500000,PremierLeague
Sunderland AFC,12/13,38300000,27,14830000,31,-23470000,PremierLeague
Newcastle United,12/13,31970000,21,14800000,19,-17170000,PremierLeague
Aston Villa,12/13,27830000,20,3200000,13,-24630000,PremierLeague
West Ham United,12/13,23900000,26,5050000,29,-18850000,PremierLeague
Stoke City,12/13,23680000,24,640000,24,-23040000,PremierLeague
Everton FC,12/13,21650000,13,18750000,13,-2900000,PremierLeague
Swansea City,12/13,20470000,20,32600000,23,12130000,PremierLeague
Norwich City,12/13,11080000,29,380000,26,-10700000,PremierLeague
Reading FC,12/13,10820000,33,900000,27,-9920000,PremierLeague
Wigan Athletic,12/13,10540000,22,13250000,25,2710000,PremierLeague
Fulham FC,12/13,10000000,28,31420000,32,21420000,PremierLeague
West Bromwich Albion,12/13,5000000,17,3730000,18,-1270000,PremierLeague
Chelsea FC,13/14,130350000,52,77930000,36,-52420000,PremierLeague
Tottenham Hotspur,13/14,122550000,33,138400000,28,15850000,PremierLeague
Manchester City,13/14,115500000,16,11300000,18,-104200000,PremierLeague
Manchester United,13/14,77130000,23,1800000,20,-75330000,PremierLeague
Liverpool FC,13/14,58100000,23,32500000,24,-25600000,PremierLeague
Arsenal FC,13/14,49250000,25,12150000,25,-37100000,PremierLeague
Cardiff City,13/14,45820000,35,3740000,29,-42080000,PremierLeague
Southampton FC,13/14,39600000,18,4200000,23,-35400000,PremierLeague
Sunderland AFC,13/14,33910000,40,22380000,35,-11530000,PremierLeague
Crystal Palace,13/14,33000000,44,0,32,-33000000,PremierLeague
Everton FC,13/14,31800000,19,46100000,21,14300000,PremierLeague
Hull City,13/14,31100000,32,880000,32,-30220000,PremierLeague
Norwich City,13/14,30050000,21,4840000,24,-25210000,PremierLeague
Fulham FC,13/14,29300000,34,4150000,30,-25150000,PremierLeague
Swansea City,13/14,26610000,24,0,21,-26610000,PremierLeague
West Ham United,13/14,24000000,25,530000,22,-23470000,PremierLeague
Aston Villa,13/14,19840000,33,8100000,29,-11740000,PremierLeague
West Bromwich Albion,13/14,15700000,17,11400000,20,-4300000,PremierLeague
Stoke City,13/14,7000000,21,0,20,-7000000,PremierLeague
Newcastle United,13/14,3800000,17,25870000,18,22070000,PremierLeague
Manchester United,14/15,195350000,30,46700000,28,-148650000,PremierLeague
Liverpool FC,14/15,151430000,30,99270000,21,-52160000,PremierLeague
Chelsea FC,14/15,137700000,57,142810000,48,5110000,PremierLeague
Arsenal FC,14/15,118980000,21,27800000,22,-91180000,PremierLeague
Manchester City,14/15,102800000,22,30300000,17,-72500000,PremierLeague
Southampton FC,14/15,96000000,26,123830000,24,27830000,PremierLeague
Tottenham Hotspur,14/15,48480000,23,44150000,24,-4330000,PremierLeague
Hull City,14/15,48220000,31,18700000,28,-29520000,PremierLeague
Newcastle United,14/15,45020000,28,23870000,26,-21150000,PremierLeague
Queens Park Rangers,14/15,43540000,35,26040000,38,-17500000,PremierLeague
Swansea City,14/15,41530000,25,61900000,28,20370000,PremierLeague
Everton FC,14/15,40160000,17,1900000,16,-38260000,PremierLeague
West Ham United,14/15,35150000,26,4400000,27,-30750000,PremierLeague
Crystal Palace,14/15,31220000,41,2870000,39,-28350000,PremierLeague
West Bromwich Albion,14/15,24880000,18,2300000,20,-22580000,PremierLeague
Leicester City,14/15,22860000,30,0,23,-22860000,PremierLeague
Sunderland AFC,14/15,22520000,24,7250000,33,-15270000,PremierLeague
Aston Villa,14/15,13450000,33,1320000,33,-12130000,PremierLeague
Burnley FC,14/15,12620000,24,0,23,-12620000,PremierLeague
Stoke City,14/15,1800000,18,3800000,20,2000000,PremierLeague
Manchester City,15/16,208470000,29,67440000,25,-141030000,PremierLeague
Manchester United,15/16,156000000,22,100670000,20,-55330000,PremierLeague
Liverpool FC,15/16,126500000,30,90550000,24,-35950000,PremierLeague
Newcastle United,15/16,107910000,28,5630000,24,-102280000,PremierLeague
Chelsea FC,15/16,96500000,54,87490000,39,-9010000,PremierLeague
Watford FC,15/16,82800000,39,9750000,31,-73050000,PremierLeague
Tottenham Hotspur,15/16,71000000,12,87250000,21,16250000,PremierLeague
Aston Villa,15/16,66550000,31,64700000,32,-1850000,PremierLeague
Sunderland AFC,15/16,66050000,34,11000000,28,-55050000,PremierLeague
Southampton FC,15/16,60100000,16,52700000,17,-7400000,PremierLeague
AFC Bournemouth,15/16,55110000,37,650000,35,-54460000,PremierLeague
Stoke City,15/16,53650000,14,23200000,14,-30450000,PremierLeague
West Ham United,15/16,52700000,27,18520000,29,-34180000,PremierLeague
Norwich City,15/16,50500000,35,21490000,31,-29010000,PremierLeague
Leicester City,15/16,49900000,27,9450000,32,-40450000,PremierLeague
Everton FC,15/16,48200000,19,11000000,17,-37200000,PremierLeague
West Bromwich Albion,15/16,42900000,12,12920000,13,-29980000,PremierLeague
Crystal Palace,15/16,28800000,19,5400000,23,-23400000,PremierLeague
Arsenal FC,15/16,26500000,16,2500000,12,-24000000,PremierLeague
Swansea City,15/16,21810000,23,16810000,24,-5000000,PremierLeague
Manchester City,16/17,216250000,42,35350000,25,-180900000,PremierLeague
Manchester United,16/17,185000000,11,47250000,14,-137750000,PremierLeague
Chelsea FC,16/17,132800000,41,108900000,30,-23900000,PremierLeague
Arsenal FC,16/17,113000000,13,10350000,12,-102650000,PremierLeague
Crystal Palace,16/17,101200000,23,50200000,24,-51000000,PremierLeague
Leicester City,16/17,92100000,17,66050000,19,-26050000,PremierLeague
Everton FC,16/17,86000000,21,60800000,19,-25200000,PremierLeague
Tottenham Hotspur,16/17,83500000,11,52300000,9,-31200000,PremierLeague
West Ham United,16/17,83500000,22,41000000,17,-42500000,PremierLeague
Liverpool FC,16/17,79900000,23,85380000,19,5480000,PremierLeague
Watford FC,16/17,70450000,38,58100000,35,-12350000,PremierLeague
Southampton FC,16/17,68900000,13,85050000,10,16150000,PremierLeague
Swansea City,16/17,58100000,23,49300000,17,-8800000,PremierLeague
Middlesbrough FC,16/17,47950000,21,13500000,20,-34450000,PremierLeague
Burnley FC,16/17,45600000,28,1200000,26,-44400000,PremierLeague
Stoke City,16/17,42170000,17,3800000,14,-38370000,PremierLeague
Sunderland AFC,16/17,41900000,27,23770000,24,-18130000,PremierLeague
AFC Bournemouth,16/17,40690000,20,23690000,30,-17000000,PremierLeague
Hull City,16/17,40000000,25,28900000,20,-11100000,PremierLeague
West Bromwich Albion,16/17,37900000,14,26980000,14,-10920000,PremierLeague
Manchester City,17/18,317500000,38,91350000,32,-226150000,PremierLeague
Chelsea FC,17/18,260500000,47,194600000,31,-65900000,PremierLeague
Everton FC,17/18,203200000,27,126380000,20,-76820000,PremierLeague
Manchester United,17/18,198400000,14,45500000,11,-152900000,PremierLeague
Liverpool FC,17/18,173650000,16,184500000,15,10850000,PremierLeague
Arsenal FC,17/18,152850000,15,162000000,16,9150000,PremierLeague
Tottenham Hotspur,17/18,121000000,15,103800000,11,-17200000,PremierLeague
Leicester City,17/18,83850000,17,50100000,14,-33750000,PremierLeague
Watford FC,17/18,73400000,43,18740000,34,-54660000,PremierLeague
Swansea City,17/18,73390000,25,81100000,25,7710000,PremierLeague
Brighton & Hove Albion,17/18,66500000,26,400000,22,-66100000,PremierLeague
Southampton FC,17/18,61250000,14,98350000,14,37100000,PremierLeague
Stoke City,17/18,57700000,21,35140000,19,-22560000,PremierLeague
West Ham United,17/18,56800000,16,69020000,26,12220000,PremierLeague
Huddersfield Town,17/18,56750000,22,6460000,19,-50290000,PremierLeague
West Bromwich Albion,17/18,53500000,18,2050000,13,-51450000,PremierLeague
Crystal Palace,17/18,48950000,15,3000000,19,-45950000,PremierLeague
Newcastle United,17/18,46500000,31,21220000,31,-25280000,PremierLeague
Burnley FC,17/18,35740000,18,50000000,21,14260000,PremierLeague
AFC Bournemouth,17/18,34300000,17,0,14,-34300000,PremierLeague
Chelsea FC,18/19,208800000,41,83250000,33,-125550000,PremierLeague
Liverpool FC,18/19,182200000,22,41320000,20,-140880000,PremierLeague
Fulham FC,18/19,116500000,20,5350000,15,-111150000,PremierLeague
Leicester City,18/19,114600000,20,95800000,19,-18800000,PremierLeague
Wolverhampton Wanderers,18/19,112750000,42,23300000,48,-89450000,PremierLeague
West Ham United,18/19,100900000,20,13770000,13,-87130000,PremierLeague
Everton FC,18/19,99800000,27,28650000,24,-71150000,PremierLeague
AFC Bournemouth,18/19,91600000,14,20200000,16,-71400000,PremierLeague
Brighton & Hove Albion,18/19,87120000,36,13620000,29,-73500000,PremierLeague
Manchester United,18/19,82700000,10,30550000,10,-52150000,PremierLeague
Arsenal FC,18/19,80150000,19,9100000,13,-71050000,PremierLeague
Manchester City,18/19,78590000,28,57600000,22,-20990000,PremierLeague
Southampton FC,18/19,62250000,21,26100000,19,-36150000,PremierLeague
Newcastle United,18/19,59750000,23,51050000,24,-8700000,PremierLeague
Huddersfield Town,18/19,50700000,16,12330000,18,-38370000,PremierLeague
Cardiff City,18/19,40200000,18,0,20,-40200000,PremierLeague
Burnley FC,18/19,33000000,10,8000000,11,-25000000,PremierLeague
Watford FC,18/19,30100000,37,51840000,27,21740000,PremierLeague
Crystal Palace,18/19,11850000,13,350000,18,-11500000,PremierLeague
Tottenham Hotspur,18/19,0,5,5350000,4,5350000,PremierLeague
Manchester United,19/20,234800000,16,81180000,12,-153620000,PremierLeague
Manchester City,19/20,166820000,36,71000000,25,-95820000,PremierLeague
Arsenal FC,19/20,160800000,20,53650000,21,-107150000,PremierLeague
Aston Villa,19/20,159500000,28,3000000,26,-156500000,PremierLeague
Tottenham Hotspur,19/20,150500000,16,64500000,15,-86000000,PremierLeague
Everton FC,19/20,121000000,27,87800000,23,-33200000,PremierLeague
West Ham United,19/20,119800000,15,55480000,18,-64320000,PremierLeague
Wolverhampton Wanderers,19/20,116700000,30,24100000,24,-92600000,PremierLeague
Leicester City,19/20,104300000,19,88500000,14,-15800000,PremierLeague
Newcastle United,19/20,72900000,16,35640000,15,-37260000,PremierLeague
Sheffield United,19/20,70500000,26,350000,22,-70150000,PremierLeague
Brighton & Hove Albion,19/20,61740000,36,8500000,30,-53240000,PremierLeague
Southampton FC,19/20,61500000,21,27300000,19,-34200000,PremierLeague
Watford FC,19/20,56000000,32,25400000,21,-30600000,PremierLeague
AFC Bournemouth,19/20,54910000,17,34630000,13,-20280000,PremierLeague
Chelsea FC,19/20,45000000,35,157270000,28,112270000,PremierLeague
Burnley FC,19/20,23850000,9,13550000,10,-10300000,PremierLeague
Liverpool FC,19/20,10400000,20,44500000,15,34100000,PremierLeague
Norwich City,19/20,8820000,28,2200000,29,-6620000,PremierLeague
Crystal Palace,19/20,7600000,15,55380000,15,47780000,PremierLeague
Chelsea FC,20/21,247200000,41,57150000,25,-190050000,PremierLeague
Manchester City,20/21,173400000,36,64000000,25,-109400000,PremierLeague
Leeds United,20/21,127800000,17,0,17,-127800000,PremierLeague
Tottenham Hotspur,20/21,110500000,18,13300000,13,-97200000,PremierLeague
Aston Villa,20/21,101350000,14,2770000,16,-98580000,PremierLeague
Wolverhampton Wanderers,20/21,87590000,26,79200000,25,-8390000,PremierLeague
Arsenal FC,20/21,86000000,20,19150000,19,-66850000,PremierLeague
Liverpool FC,20/21,84050000,20,17200000,14,-66850000,PremierLeague
Manchester United,20/21,83800000,18,19500000,15,-64300000,PremierLeague
Everton FC,20/21,73370000,23,4430000,21,-68940000,PremierLeague
Sheffield United,20/21,62700000,17,0,19,-62700000,PremierLeague
Leicester City,20/21,59400000,21,53770000,19,-5630000,PremierLeague
West Ham United,20/21,54700000,18,45410000,17,-9290000,PremierLeague
West Bromwich Albion,20/21,42140000,23,8100000,23,-34040000,PremierLeague
Newcastle United,20/21,39000000,13,275000,15,-38725000,PremierLeague
Southampton FC,20/21,37300000,24,26300000,19,-11000000,PremierLeague
Fulham FC,20/21,37250000,26,0,24,-37250000,PremierLeague
Brighton & Hove Albion,20/21,28500000,34,20600000,23,-7900000,PremierLeague
Crystal Palace,20/21,22400000,14,20000000,8,-2400000,PremierLeague
Burnley FC,20/21,1100000,6,2300000,6,1200000,PremierLeague
Arsenal FC,21/22,167400000,21,31400000,20,-136000000,PremierLeague
Manchester United,21/22,142000000,20,30700000,13,-111300000,PremierLeague
Manchester City,21/22,138900000,32,93800000,22,-45100000,PremierLeague
Newcastle United,21/22,130500000,13,0,11,-130500000,PremierLeague
Aston Villa,21/22,129800000,26,127000000,20,-2800000,PremierLeague
Chelsea FC,21/22,118000000,25,124600000,23,6600000,PremierLeague
Tottenham Hotspur,21/22,95900000,18,34620000,20,-61280000,PremierLeague
Liverpool FC,21/22,87000000,15,29550000,12,-57450000,PremierLeague
Crystal Palace,21/22,85620000,14,0,16,-85620000,PremierLeague
Brighton & Hove Albion,21/22,75000000,33,78500000,29,3500000,PremierLeague
West Ham United,21/22,74500000,10,4240000,10,-70260000,PremierLeague
Leicester City,21/22,67600000,12,4000000,12,-63600000,PremierLeague
Norwich City,21/22,63550000,34,38400000,33,-25150000,PremierLeague
Leeds United,21/22,59300000,16,0,14,-59300000,PremierLeague
Burnley FC,21/22,49400000,8,40500000,6,-8900000,PremierLeague
